MOBILE_NAME RATING PRICE RAM SIZE CAMERA  BATTERY PROCESSOR  CHARGE

Vivo V17Pro (Midnight Ocean Black| 128 GB),₹27,990₹32,99015% offNo Cost EMIUpto ₹10,800 Off on Exchange,,8 GB RAM | 128 GB ROM |,16.36 cm (6.44 inch) FHD+ Display,48MP + 13MP + 8MP + 2MP | 32MP + 8MP Dual Front Camera,4100 mAh Li-ion Battery,

Apple iPhone 7 (Gold| 32 GB),₹24,999₹29,90016% offNo Cost EMIUpto ₹10,800 Off on Exchange,,32 GB ROM |,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor,

Apple iPhone 8 (Space Grey| 64 GB),₹33,999₹39,90014% offNo Cost EMIUpto ₹10,800 Off on Exchange,,64 GB ROM |,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,A11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor Processor,

Asus Zenfone Max Pro M1 (Grey| 32 GB),₹7,999₹13,19939% offNo Cost EMIUpto ₹7,700 Off on Exchange,,3 GB RAM | 32 GB ROM | Expandable Upto 2 TB,15.21 cm (5.99 inch) Full HD+ Display,13MP + 5MP | 8MP Front Camera,5000 mAh Battery,

Redmi Note 7 Pro (Space Black| 64 GB),₹13,999₹16,99917% offNo Cost EMIUpto ₹10,800 Off on Exchange,,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) FHD+ Display,48MP + 5MP | 13MP Front Camera,4000 mAh Li-polymer Battery,

